中国电信-广东-酒店,#genre#
CCTV1,http://119.120.196.103:9999/tsfile/live/0001_1.m3u8
中国气象,http://119.120.196.103:9999/tsfile/live/1022_1.m3u8
潮州综合,http://119.120.196.103:9999/tsfile/live/1004_1.m3u8
潮州民生,http://119.120.196.103:9999/tsfile/live/1017_1.m3u8
汕头综合,http://119.120.196.103:9999/tsfile/live/1002_1.m3u8
汕头经济,http://119.120.196.103:9999/tsfile/live/1012_1.m3u8
汕头文旅体育,http://119.120.196.103:9999/tsfile/live/1011_1.m3u8
揭阳综合,http://119.120.196.103:9999/tsfile/live/1049_1.m3u8
揭阳公共,http://119.120.196.103:9999/tsfile/live/1050_1.m3u8
广东卫视,http://119.120.196.103:9999/tsfile/live/0125_1.m3u8
CCTV2,http://119.120.196.103:9999/tsfile/live/0002_1.m3u8
CCTV3,http://119.120.196.103:9999/tsfile/live/0003_1.m3u8
CCTV4,http://119.120.196.103:9999/tsfile/live/1071_1.m3u8
CCTV5,http://119.120.196.103:9999/tsfile/live/0005_1.m3u8
CCTV6,http://119.120.196.103:9999/tsfile/live/0006_1.m3u8
CCTV7,http://119.120.196.103:9999/tsfile/live/1072_1.m3u8
CCTV8,http://119.120.196.103:9999/tsfile/live/0008_1.m3u8
CCTV9,http://119.120.196.103:9999/tsfile/live/0009_1.m3u8
CCTV10,http://119.120.196.103:9999/tsfile/live/0010_1.m3u8
CCTV11,http://119.120.196.103:9999/tsfile/live/0011_1.m3u8
CCTV12,http://119.120.196.103:9999/tsfile/live/0012_1.m3u8
CCTV13,http://119.120.196.103:9999/tsfile/live/0013_1.m3u8
CCTV14,http://119.120.196.103:9999/tsfile/live/0014_1.m3u8
CCTV15,http://119.120.196.103:9999/tsfile/live/0015_1.m3u8
大湾区卫视,http://119.120.196.103:9999/tsfile/live/1023_1.m3u8
广东珠江,http://119.120.196.103:9999/tsfile/live/1064_1.m3u8
广东影视,http://119.120.196.103:9999/tsfile/live/1010_1.m3u8
湖南卫视,http://119.120.196.103:9999/tsfile/live/0128_1.m3u8
湖北卫视,http://119.120.196.103:9999/tsfile/live/0132_1.m3u8
广西卫视,http://119.120.196.103:9999/tsfile/live/0113_1.m3u8
浙江卫视,http://119.120.196.103:9999/tsfile/live/0124_1.m3u8
河北卫视,http://119.120.196.103:9999/tsfile/live/0117_1.m3u8
黑龙江卫视,http://119.120.196.103:9999/tsfile/live/0143_1.m3u8
吉林卫视,http://119.120.196.103:9999/tsfile/live/0116_1.m3u8
辽宁卫视,http://119.120.196.103:9999/tsfile/live/0121_1.m3u8
陕西卫视,http://119.120.196.103:9999/tsfile/live/0136_1.m3u8
山西卫视,http://119.120.196.103:9999/tsfile/live/0118_1.m3u8
山东卫视,http://119.120.196.103:9999/tsfile/live/0131_1.m3u8
安徽卫视,http://119.120.196.103:9999/tsfile/live/0130_1.m3u8
江苏卫视,http://119.120.196.103:9999/tsfile/live/0127_1.m3u8
江西卫视,http://119.120.196.103:9999/tsfile/live/0138_1.m3u8
贵州卫视,http://119.120.196.103:9999/tsfile/live/0120_1.m3u8
云南卫视,http://119.120.196.103:9999/tsfile/live/0119_1.m3u8
东南卫视,http://119.120.196.103:9999/tsfile/live/0137_1.m3u8
甘肃卫视,http://119.120.196.103:9999/tsfile/live/0141_1.m3u8
宁夏卫视,http://119.120.196.103:9999/tsfile/live/0112_1.m3u8
西藏卫视,http://119.120.196.103:9999/tsfile/live/0111_1.m3u8
新疆卫视,http://119.120.196.103:9999/tsfile/live/0110_1.m3u8
内蒙古卫视,http://119.120.196.103:9999/tsfile/live/0109_1.m3u8
天津卫视,http://119.120.196.103:9999/tsfile/live/0135_1.m3u8
四川卫视,http://119.120.196.103:9999/tsfile/live/0123_1.m3u8
重庆卫视,http://119.120.196.103:9999/tsfile/live/0142_1.m3u8
北京卫视,http://119.120.196.103:9999/tsfile/live/0122_1.m3u8
上海卫视,http://119.120.196.103:9999/tsfile/live/0107_1.m3u8
厦门卫视,http://119.120.196.103:9999/tsfile/live/0129_1.m3u8
青海卫视,http://119.120.196.103:9999/tsfile/live/0140_1.m3u8
兵团卫视,http://119.120.196.103:9999/tsfile/live/0115_1.m3u8
河南卫视,http://119.120.196.103:9999/tsfile/live/0139_1.m3u8
广东少儿,http://119.120.196.103:9999/tsfile/live/1013_1.m3u8
嘉佳卡,http://119.120.196.103:9999/tsfile/live/1075_1.m3u8
少儿动画,http://119.120.196.103:9999/tsfile/live/1021_1.m3u8
金鹰卡通,http://119.120.196.103:9999/tsfile/live/1020_1.m3u8
广东民生,http://119.120.196.103:9999/tsfile/live/1030_1.m3u8
广东体育,http://119.120.196.103:9999/tsfile/live/1063_1.m3u8
广东国际,http://119.120.196.103:9999/tsfile/live/1055_1.m3u8
广东经济教育,http://119.120.196.103:9999/tsfile/live/1079_1.m3u8
CCTV5,http://119.120.196.103:9999/tsfile/live/1065_1.m3u8
CCTV5+,http://119.120.196.103:9999/tsfile/live/1073_1.m3u8
深圳卫视,http://119.120.196.103:9999/tsfile/live/0126_1.m3u8
河源公共,http://119.120.196.103:9999/tsfile/live/1060_1.m3u8
三沙卫视,http://119.120.196.103:9999/tsfile/live/1025_1.m3u8
经典电影,http://119.120.196.103:9999/tsfile/live/1014_1.m3u8
央视台球,http://119.120.196.103:9999/tsfile/live/1027_1.m3u8
高尔夫网球,http://119.120.196.103:9999/tsfile/live/1028_1.m3u8
风云音乐,http://119.120.196.103:9999/tsfile/live/1009_1.m3u8
女性时尚,http://119.120.196.103:9999/tsfile/live/1029_1.m3u8
风云剧场,http://119.120.196.103:9999/tsfile/live/1032_1.m3u8
怀旧剧场,http://119.120.196.103:9999/tsfile/live/1033_1.m3u8
兵器科技,http://119.120.196.103:9999/tsfile/live/1035_1.m3u8
武术世界,http://119.120.196.103:9999/tsfile/live/1043_1.m3u8
国学,http://119.120.196.103:9999/tsfile/live/1081_1.m3u8
第一剧场,http://119.120.196.103:9999/tsfile/live/1082_1.m3u8
热搏剧场,http://119.120.196.103:9999/tsfile/live/1083_1.m3u8
精选1,http://119.120.196.103:9999/tsfile/live/1084_1.m3u8
CETV2,http://119.120.196.103:9999/tsfile/live/1085_1.m3u8
CETV4,http://119.120.196.103:9999/tsfile/live/1086_1.m3u8
岭南戏曲,http://119.120.196.103:9999/tsfile/live/1053_1.m3u8
现代教育,http://119.120.196.103:9999/tsfile/live/1052_1.m3u8
iptv法治,http://119.120.196.103:9999/tsfile/live/1091_1.m3u8
iptv谍战电影,http://119.120.196.103:9999/tsfile/live/1092_1.m3u8
iptv野外,http://119.120.196.103:9999/tsfile/live/1000_1.m3u8
CCTV17,http://119.120.196.103:9999/tsfile/live/1001_1.m3u8
