中国电信-河南-酒店,#genre#
CCTV1,http://171.13.174.159:20443/tsfile/live/0001_1.m3u8
CCTV1,http://171.13.174.159:20443/tsfile/live/0001_1.m3u8
CCTV2,http://171.13.174.159:20443/tsfile/live/0002_1.m3u8
CCTV2,http://171.13.174.159:20443/tsfile/live/0002_1.m3u8
CCTV3,http://171.13.174.159:20443/tsfile/live/0003_1.m3u8
CCTV3,http://171.13.174.159:20443/tsfile/live/0003_1.m3u8
CCTV4,http://171.13.174.159:20443/tsfile/live/0004_1.m3u8
CCTV4,http://171.13.174.159:20443/tsfile/live/0004_1.m3u8
CCTV5,http://171.13.174.159:20443/tsfile/live/0017_1.m3u8
CCTV5,http://171.13.174.159:20443/tsfile/live/0017_1.m3u8
CCTV6,http://171.13.174.159:20443/tsfile/live/0006_1.m3u8
CCTV6,http://171.13.174.159:20443/tsfile/live/0006_1.m3u8
CCTV7,http://171.13.174.159:20443/tsfile/live/0007_1.m3u8
CCTV7,http://171.13.174.159:20443/tsfile/live/0007_1.m3u8
CCTV8,http://171.13.174.159:20443/tsfile/live/0008_1.m3u8
CCTV8,http://171.13.174.159:20443/tsfile/live/0008_1.m3u8
CCTV9,http://171.13.174.159:20443/tsfile/live/0009_1.m3u8
CCTV9,http://171.13.174.159:20443/tsfile/live/0009_1.m3u8
CCTV10,http://171.13.174.159:20443/tsfile/live/0010_1.m3u8
CCTV10,http://171.13.174.159:20443/tsfile/live/0010_1.m3u8
CCTV11,http://171.13.174.159:20443/tsfile/live/0011_1.m3u8
CCTV11,http://171.13.174.159:20443/tsfile/live/0011_1.m3u8
CCTV12,http://171.13.174.159:20443/tsfile/live/0012_1.m3u8
CCTV12,http://171.13.174.159:20443/tsfile/live/0012_1.m3u8
CCTV13,http://171.13.174.159:20443/tsfile/live/0013_1.m3u8
CCTV13,http://171.13.174.159:20443/tsfile/live/0013_1.m3u8
CCTV14,http://171.13.174.159:20443/tsfile/live/0014_1.m3u8
CCTV14,http://171.13.174.159:20443/tsfile/live/0014_1.m3u8
CCTV15,http://171.13.174.159:20443/tsfile/live/0015_1.m3u8
CCTV15,http://171.13.174.159:20443/tsfile/live/0015_1.m3u8
高尔夫网球,http://171.13.174.159:20443/tsfile/live/0007_2.m3u8
高尔夫网球,http://171.13.174.159:20443/tsfile/live/0007_2.m3u8
河南卫视,http://171.13.174.159:20443/tsfile/live/0139_1.m3u8
河南卫视,http://171.13.174.159:20443/tsfile/live/0139_1.m3u8
河南都市,http://171.13.174.159:20443/tsfile/live/0139_2.m3u8
河南都市,http://171.13.174.159:20443/tsfile/live/0139_2.m3u8
河南民生,http://171.13.174.159:20443/tsfile/live/0139_3.m3u8
河南民生,http://171.13.174.159:20443/tsfile/live/0139_3.m3u8
河南法制,http://171.13.174.159:20443/tsfile/live/0139_4.m3u8
河南法制,http://171.13.174.159:20443/tsfile/live/0139_4.m3u8
河南电视剧,http://171.13.174.159:20443/tsfile/live/0139_5.m3u8
河南电视剧,http://171.13.174.159:20443/tsfile/live/0139_5.m3u8
河南新闻,http://171.13.174.159:20443/tsfile/live/0139_6.m3u8
