中国电信-福建-酒店,#genre#
CCTV1,http://110.80.17.38:9901/tsfile/live/0001_1.m3u8
CCTV2,http://110.80.17.38:9901/tsfile/live/0002_1.m3u8
CCTV3,http://110.80.17.38:9901/tsfile/live/0003_1.m3u8
CCTV4,http://110.80.17.38:9901/tsfile/live/0004_1.m3u8
CCTV5,http://110.80.17.38:9901/tsfile/live/0005_1.m3u8
CCTV6,http://110.80.17.38:9901/tsfile/live/0006_1.m3u8
CCTV7,http://110.80.17.38:9901/tsfile/live/0007_1.m3u8
CCTV8,http://110.80.17.38:9901/tsfile/live/0008_1.m3u8
CCTV9,http://110.80.17.38:9901/tsfile/live/0009_1.m3u8
CCTV10,http://110.80.17.38:9901/tsfile/live/0010_1.m3u8
CCTV12,http://110.80.17.38:9901/tsfile/live/0012_1.m3u8
CCTV13,http://110.80.17.38:9901/tsfile/live/0013_1.m3u8
厦门卫视,http://110.80.17.38:9901/tsfile/live/0128_1.m3u8
福建乡村,http://110.80.17.38:9901/tsfile/live/0130_1.m3u8
福建新闻,http://110.80.17.38:9901/tsfile/live/0122_1.m3u8
福建旅游,http://110.80.17.38:9901/tsfile/live/0138_1.m3u8
上海卫视,http://110.80.17.38:9901/tsfile/live/0107_2.m3u8
江苏卫视,http://110.80.17.38:9901/tsfile/live/0127_1.m3u8
浙江卫视,http://110.80.17.38:9901/tsfile/live/0124_1.m3u8
广东卫视,http://110.80.17.38:9901/tsfile/live/0125_1.m3u8
金鹰卡通,http://110.80.17.38:9901/tsfile/live/0016_2.m3u8
江西卫视,http://110.80.17.38:9901/tsfile/live/0138_2.m3u8
湖北卫视,http://110.80.17.38:9901/tsfile/live/0132_1.m3u8
安徽卫视,http://110.80.17.38:9901/tsfile/live/0130_2.m3u8
河北卫视,http://110.80.17.38:9901/tsfile/live/0117_1.m3u8
北京卫视,http://110.80.17.38:9901/tsfile/live/0122_2.m3u8
广西卫视,http://110.80.17.38:9901/tsfile/live/0113_1.m3u8
山东卫视,http://110.80.17.38:9901/tsfile/live/0131_1.m3u8
山西卫视,http://110.80.17.38:9901/tsfile/live/0118_1.m3u8
四川卫视,http://110.80.17.38:9901/tsfile/live/0123_1.m3u8
云南卫视,http://110.80.17.38:9901/tsfile/live/0119_1.m3u8
贵州卫视,http://110.80.17.38:9901/tsfile/live/0120_1.m3u8
陕西卫视,http://110.80.17.38:9901/tsfile/live/0136_1.m3u8
甘肃卫视,http://110.80.17.38:9901/tsfile/live/0141_1.m3u8
重庆卫视,http://110.80.17.38:9901/tsfile/live/0142_1.m3u8
天津卫视,http://110.80.17.38:9901/tsfile/live/0135_1.m3u8
兵团卫视,http://110.80.17.38:9901/tsfile/live/0015_1.m3u8
宁夏卫视,http://110.80.17.38:9901/tsfile/live/0016_1.m3u8
新疆卫视,http://110.80.17.38:9901/tsfile/live/0018_1.m3u8
